software mouseReMoCo;version 1.3.0;isWithLSL false;screenWidth 1902;screenHeight 973;centerX 951;centerY 486;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];textColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 545;cornerY 80;externalRadius 406;internalRadius 326;borderRadius 1;cursorRadius 16;indexOfDifficulty 48.86179212285402;taskRadius 365.5;taskTolerance 47
2025-12-02 00:02:30.891 +0100

timestamp,mouseX,mouseY,mouseInTarget
1764630159122,714,213,1
1764630159136,716,212,1
1764630159136,717,210,1
1764630159152,720,209,1
1764630159161,723,206,1
1764630159167,725,204,1
1764630159167,730,200,1
1764630159183,734,196,1
1764630159183,737,193,1
1764630159199,741,189,1
1764630159199,745,186,1
1764630159215,747,182,1
1764630159231,750,179,1
1764630159231,753,175,1
1764630159249,755,174,1
1764630159249,757,170,1
1764630159263,759,169,1
1764630159265,761,167,1
1764630159265,762,165,1
1764630159278,765,164,1
1764630159278,768,161,1
1764630159294,771,158,1
1764630159294,773,156,1
1764630159311,776,153,1
1764630159315,779,151,1
1764630159326,783,148,1
1764630159326,785,145,1
1764630159326,787,143,1
1764630159342,788,142,1
1764630159342,790,140,1
1764630159361,790,139,1
1764630159365,791,137,1
1764630159634,813,134,1
1764630159634,840,127,1
1764630159650,853,124,1
1764630159650,867,121,1
1764630159666,878,119,1
1764630159666,886,116,1
1764630159681,892,116,1
1764630159681,898,115,1
1764630159681,904,113,1
1764630159697,910,112,1
1764630159697,914,112,1
1764630159713,917,112,1
1764630159713,921,111,1
1764630159729,925,111,1
1764630159729,931,111,1
1764630159745,935,111,1
1764630159745,939,111,1
1764630159745,942,111,1
1764630159761,946,111,1
1764630159761,954,111,1
1764630159778,958,112,1
1764630159778,963,113,1
1764630159793,968,113,1
1764630159793,972,114,1
1764630159809,976,115,1
1764630159809,980,116,1
1764630159809,982,116,1
1764630159829,984,117,1
1764630159829,987,117,1
1764630159840,990,118,1
1764630159840,995,118,1
1764630159856,998,119,1
1764630159856,1002,120,1
1764630159872,1008,120,1
1764630159872,1010,120,1
1764630159872,1015,122,1
1764630159888,1019,123,1
1764630159888,1024,124,1
1764630159906,1028,124,1
